taxon_id,taxon_kind,scientific_name,language,common_name,source,source_priority,confidence,display_status,reviewer,notes,apply_status
reftaxon:inaturalist:4966,referenced_taxon,Ardea pacifica,en,White-necked Heron,manual_or_curated_existing,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
reftaxon:inaturalist:4972,referenced_taxon,Ardea melanocephala,en,Black-headed Heron,manual_or_curated_existing,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
reftaxon:inaturalist:507881,referenced_taxon,Porphyriops melanops,en,Spot-flanked Gallinule,manual_or_curated_existing,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
reftaxon:inaturalist:510458,referenced_taxon,Anas platyrhynchos × Netta rufina,en,Mallard × Red-crested Pochard,manual_or_curated_existing,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
reftaxon:inaturalist:5106,referenced_taxon,Accipiter nisus,en,Eurasian Sparrowhawk,inaturalist:all_names,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
reftaxon:inaturalist:5106,referenced_taxon,Accipiter nisus,nl,Sperwer,inaturalist:all_names,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
reftaxon:inaturalist:513926,referenced_taxon,Rallus aquaticus,en,Water Rail,manual_or_curated_existing,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
reftaxon:inaturalist:5173,referenced_taxon,Circus aeruginosus,en,Western Marsh Harrier,manual_or_curated_existing,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
reftaxon:inaturalist:5200,referenced_taxon,Buteo lagopus,en,Rough-legged Hawk,manual_or_curated_existing,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
reftaxon:inaturalist:5227,referenced_taxon,Buteo platypterus,en,Broad-winged Hawk,manual_or_curated_existing,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
reftaxon:inaturalist:5267,referenced_taxon,Milvus milvus,en,Red Kite,manual_or_curated_existing,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
reftaxon:inaturalist:5325,referenced_taxon,Pernis apivorus,en,European Honey-buzzard,manual_or_curated_existing,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
reftaxon:inaturalist:558426,referenced_taxon,Anser caerulescens,en,Snow Goose,manual_or_curated_existing,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
reftaxon:inaturalist:558427,referenced_taxon,Anser rossii,en,Ross's Goose,manual_or_curated_existing,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
reftaxon:inaturalist:558429,referenced_taxon,Spatula querquedula,en,Garganey,manual_or_curated_existing,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
reftaxon:inaturalist:558433,referenced_taxon,Spatula discors,en,Blue-winged Teal,manual_or_curated_existing,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
reftaxon:inaturalist:558438,referenced_taxon,Spatula clypeata,en,Northern Shoveler,manual_or_curated_existing,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
reftaxon:inaturalist:558439,referenced_taxon,Mareca strepera,en,Gadwall,manual_or_curated_existing,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
reftaxon:inaturalist:558442,referenced_taxon,Mareca sibilatrix,en,Chiloe Wigeon,manual_or_curated_existing,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
reftaxon:inaturalist:59202,referenced_taxon,Larus michahellis,en,Yellow-legged Gull,inaturalist:all_names,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
reftaxon:inaturalist:59202,referenced_taxon,Larus michahellis,nl,Geelpootmeeuw,inaturalist:all_names,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
reftaxon:inaturalist:64705,referenced_taxon,Delichon urbicum,nl,Huiszwaluw,inaturalist:all_names,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
reftaxon:inaturalist:6571,referenced_taxon,Chaetura pelagica,en,Chimney Swift,manual_or_curated_existing,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
reftaxon:inaturalist:6638,referenced_taxon,Apus apus,fr,Martinet noir,inaturalist:all_names,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
reftaxon:inaturalist:6638,referenced_taxon,Apus apus,en,Common Swift,inaturalist:all_names,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
reftaxon:inaturalist:6638,referenced_taxon,Apus apus,nl,Gierzwaluw,inaturalist:all_names,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
reftaxon:inaturalist:6916,referenced_taxon,Cygnus cygnus,en,Whooper Swan,manual_or_curated_existing,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
reftaxon:inaturalist:6917,referenced_taxon,Cygnus columbianus,en,Tundra Swan,manual_or_curated_existing,1,high,displayable_curated,,source-attested by localized-name-apply-plan-v1,ready
