priority,taxon_id,taxon_kind,scientific_name,language,existing_name,selected_candidate_name,selected_source,selected_source_priority,display_status,recommendation,conflict_status,alternatives,affected_target_count,affected_ready_target_count,relationship_occurrence_count,projected_unlock_value,reviewer,reviewed_name,review_confidence,review_source,review_notes,apply_status
P1,taxon:birds:000010,canonical_taxon,Pica pica,en,Eurasian Magpie,Eurasian Magpie,manual_or_curated_existing,0,displayable_curated,keep_existing_curated,none,,7,7,7,7,,,,,,pending
P1,taxon:birds:000010,canonical_taxon,Pica pica,nl,,Ekster,inaturalist,1,displayable_source_attested,apply_source_attested_name,none,,7,7,7,7,,,,,,pending
P1,taxon:birds:000011,canonical_taxon,Sturnus vulgaris,fr,,Étourneau sansonnet,inaturalist,1,displayable_source_attested,apply_source_attested_name,none,,4,3,4,3,,,,,,pending
P1,taxon:birds:000011,canonical_taxon,Sturnus vulgaris,en,European Starling,European Starling,manual_or_curated_existing,0,displayable_curated,keep_existing_curated,none,,4,3,4,3,,,,,,pending
P1,taxon:birds:000011,canonical_taxon,Sturnus vulgaris,nl,,Spreeuw,inaturalist,1,displayable_source_attested,apply_source_attested_name,none,,4,3,4,3,,,,,,pending
P1,taxon:birds:000012,canonical_taxon,Sylvia atricapilla,fr,,Fauvette à tête noire,inaturalist,1,displayable_source_attested,apply_source_attested_name,none,,3,3,3,3,,,,,,pending
P1,taxon:birds:000012,canonical_taxon,Sylvia atricapilla,en,Eurasian Blackcap,Eurasian Blackcap,manual_or_curated_existing,0,displayable_curated,keep_existing_curated,none,,3,3,3,3,,,,,,pending
P1,taxon:birds:000012,canonical_taxon,Sylvia atricapilla,nl,,Zwartkop,inaturalist,1,displayable_source_attested,apply_source_attested_name,none,,3,3,3,3,,,,,,pending
P1,taxon:birds:000013,canonical_taxon,Troglodytes troglodytes,fr,,Troglodyte mignon,inaturalist,1,not_displayable_scientific_fallback,not_for_corpus_display_scientific_fallback,none,,3,3,3,0,,,,,,pending
P1,taxon:birds:000013,canonical_taxon,Troglodytes troglodytes,en,Eurasian Wren,Eurasian Wren,manual_or_curated_existing,0,displayable_curated,keep_existing_curated,none,,3,3,3,3,,,,,,pending
P1,taxon:birds:000013,canonical_taxon,Troglodytes troglodytes,nl,,Winterkoning,inaturalist,1,displayable_source_attested,apply_source_attested_name,none,,3,3,3,3,,,,,,pending
P1,taxon:birds:000014,canonical_taxon,Turdus merula,fr,,Merle noir,inaturalist,1,not_displayable_scientific_fallback,not_for_corpus_display_scientific_fallback,none,,8,8,9,0,,,,,,pending
P1,taxon:birds:000014,canonical_taxon,Turdus merula,en,Eurasian Blackbird,Eurasian Blackbird,manual_or_curated_existing,0,displayable_curated,keep_existing_curated,none,,8,8,9,8,,,,,,pending
P1,taxon:birds:000014,canonical_taxon,Turdus merula,nl,,Merel,inaturalist,1,displayable_source_attested,apply_source_attested_name,none,,8,8,9,8,,,,,,pending
P1,taxon:birds:000015,canonical_taxon,Turdus philomelos,fr,,Grive musicienne,inaturalist,1,not_displayable_scientific_fallback,not_for_corpus_display_scientific_fallback,none,,4,4,5,0,,,,,,pending
P1,taxon:birds:000015,canonical_taxon,Turdus philomelos,en,Song Thrush,Song Thrush,manual_or_curated_existing,0,displayable_curated,keep_existing_curated,none,,4,4,5,4,,,,,,pending
P1,taxon:birds:000015,canonical_taxon,Turdus philomelos,nl,,Zanglijster,inaturalist,1,displayable_source_attested,apply_source_attested_name,none,,4,4,5,4,,,,,,pending
P1,taxon:birds:000016,canonical_taxon,Carduelis carduelis,fr,,Chardonneret élégant,inaturalist,1,displayable_source_attested,apply_source_attested_name,none,,5,5,6,5,,,,,,pending
P1,taxon:birds:000016,canonical_taxon,Carduelis carduelis,en,European Goldfinch,European Goldfinch,manual_or_curated_existing,0,displayable_curated,keep_existing_curated,none,,5,5,6,5,,,,,,pending
P1,taxon:birds:000016,canonical_taxon,Carduelis carduelis,nl,,Putter,inaturalist,1,displayable_source_attested,apply_source_attested_name,none,,5,5,6,5,,,,,,pending
P1,taxon:birds:000017,canonical_taxon,Chloris chloris,fr,,Verdier d'Europe,inaturalist,1,displayable_source_attested,apply_source_attested_name,none,,4,4,5,4,,,,,,pending
P1,taxon:birds:000017,canonical_taxon,Chloris chloris,en,European Greenfinch,European Greenfinch,manual_or_curated_existing,0,displayable_curated,keep_existing_curated,none,,4,4,5,4,,,,,,pending
P1,taxon:birds:000017,canonical_taxon,Chloris chloris,nl,,Groenling,inaturalist,1,displayable_source_attested,apply_source_attested_name,none,,4,4,5,4,,,,,,pending
P3,taxon:birds:000018,canonical_taxon,Acrocephalus scirpaceus,fr,,Rousserolle effarvatte,inaturalist,1,not_displayable_scientific_fallback,not_for_corpus_display_scientific_fallback,none,,0,0,0,0,,,,,,pending
P3,taxon:birds:000018,canonical_taxon,Acrocephalus scirpaceus,en,Common Reed Warbler,Common Reed Warbler,manual_or_curated_existing,0,displayable_curated,keep_existing_curated,none,,0,0,0,0,,,,,,pending
P3,taxon:birds:000018,canonical_taxon,Acrocephalus scirpaceus,nl,,Kleine Karekiet,inaturalist,1,displayable_source_attested,apply_source_attested_name,none,,0,0,0,0,,,,,,pending
P1,taxon:birds:000019,canonical_taxon,Coccothraustes coccothraustes,fr,,Gros-bec casse-noyaux,inaturalist,1,displayable_source_attested,apply_source_attested_name,none,,3,3,3,3,,,,,,pending
P1,taxon:birds:000019,canonical_taxon,Coccothraustes coccothraustes,en,Hawfinch,Hawfinch,manual_or_curated_existing,0,displayable_curated,keep_existing_curated,none,,3,3,3,3,,,,,,pending
P1,taxon:birds:000019,canonical_taxon,Coccothraustes coccothraustes,nl,,Appelvink,inaturalist,1,displayable_source_attested,apply_source_attested_name,none,,3,3,3,3,,,,,,pending
P1,taxon:birds:000020,canonical_taxon,Phoenicurus ochruros,fr,,Rougequeue noir,inaturalist,1,not_displayable_scientific_fallback,not_for_corpus_display_scientific_fallback,none,,2,2,2,0,,,,,,pending
P1,taxon:birds:000020,canonical_taxon,Phoenicurus ochruros,en,Black Redstart,Black Redstart,manual_or_curated_existing,0,displayable_curated,keep_existing_curated,none,,2,2,2,2,,,,,,pending
P1,taxon:birds:000020,canonical_taxon,Phoenicurus ochruros,nl,,Zwarte Roodstaart,inaturalist,1,displayable_source_attested,apply_source_attested_name,none,,2,2,2,2,,,,,,pending
P1,taxon:birds:000021,canonical_taxon,Anas platyrhynchos,fr,,Canard colvert,inaturalist,1,not_displayable_scientific_fallback,not_for_corpus_display_scientific_fallback,none,,4,4,6,0,,,,,,pending
P1,taxon:birds:000021,canonical_taxon,Anas platyrhynchos,en,Mallard,Mallard,manual_or_curated_existing,0,displayable_curated,keep_existing_curated,none,,4,4,6,4,,,,,,pending
P1,taxon:birds:000021,canonical_taxon,Anas platyrhynchos,nl,,Wilde Eend,inaturalist,1,displayable_source_attested,apply_source_attested_name,none,,4,4,6,4,,,,,,pending
P1,taxon:birds:000022,canonical_taxon,Anser anser,fr,,Oie cendrée,inaturalist,1,displayable_source_attested,apply_source_attested_name,none,,2,2,3,2,,,,,,pending
P1,taxon:birds:000022,canonical_taxon,Anser anser,en,Greylag Goose,Greylag Goose,manual_or_curated_existing,0,displayable_curated,keep_existing_curated,none,,2,2,3,2,,,,,,pending
P1,taxon:birds:000022,canonical_taxon,Anser anser,nl,,Grauwe Gans,inaturalist,1,displayable_source_attested,apply_source_attested_name,none,,2,2,3,2,,,,,,pending
P1,taxon:birds:000023,canonical_taxon,Cygnus olor,fr,,Cygne tuberculé,inaturalist,1,displayable_source_attested,apply_source_attested_name,none,,2,2,2,2,,,,,,pending
P1,taxon:birds:000023,canonical_taxon,Cygnus olor,en,Mute Swan,Mute Swan,manual_or_curated_existing,0,displayable_curated,keep_existing_curated,none,,2,2,2,2,,,,,,pending
P1,taxon:birds:000023,canonical_taxon,Cygnus olor,nl,,Knobbelzwaan,inaturalist,1,displayable_source_attested,apply_source_attested_name,none,,2,2,2,2,,,,,,pending
P1,taxon:birds:000024,canonical_taxon,Fulica atra,fr,,Foulque macroule,inaturalist,1,not_displayable_scientific_fallback,not_for_corpus_display_scientific_fallback,none,,2,2,3,0,,,,,,pending
P1,taxon:birds:000024,canonical_taxon,Fulica atra,en,Eurasian Coot,Eurasian Coot,manual_or_curated_existing,0,displayable_curated,keep_existing_curated,none,,2,2,3,2,,,,,,pending
P1,taxon:birds:000024,canonical_taxon,Fulica atra,nl,,Meerkoet,inaturalist,1,displayable_source_attested,apply_source_attested_name,none,,2,2,3,2,,,,,,pending
